Test,Hat
144.41,133.2785
132.16,134.24738
139.02,128.19962
135.97,126.4602
130.46,134.53676
116.86000000000001,125.096535
134.54,129.41591
129.42,134.37108
134.93,135.35345
137.12,133.08786
130.42,131.25758
138.71,140.7667
146.49,140.18839
145.5,125.524414
121.99000000000001,135.87325
125.3,132.14496
146.39,129.81276
154.52,137.22913
146.18,143.06958
128.07,133.34055
170.58,130.74048
124.66,129.25945
148.87,133.57233
139.55,134.0859
141.46,130.36577
104.06999999999998,122.09238
135.87,138.40018
128.95,127.85707
132.17,137.55708
131.51,130.85188
126.3114286,136.98561
153.73999999999998,145.49268
147.94,135.83296
142.56,134.04222
135.16,141.6818
119.58,117.20135
117.52,122.90877
145.46,122.60518
131.2,131.39012
135.25,128.83276
132.17,140.21793
139.3,132.71565
137.25,133.23158
125.69,126.57086
126.04,134.99309
149.67,126.71504
141.15,136.90625
137.86,137.5634
117.37,118.98583
138.98,136.4696
167.24,143.42596
118.51,130.15971
119.5,127.404274
131.09,122.21496
127.47,129.31853
204.67,142.86557
120.81,136.35208
144.3,128.2628
128.54,135.04459
136.3,129.88367
155.23,131.93251
131.4,139.76282
106.51999999999998,120.752106
129.74,142.60817
120.92,133.55869
136.92,137.32446
139.85,122.51326
113.51,121.37419
127.05,127.55554
120.16,121.772156
143.07,129.96524
135.05,132.39447
128.39,133.07268
143.07,138.17789
141.84,136.2421
130.66,131.51306
153.93,143.6063
123.18,130.1042
141.22,129.94716
144.9433333,136.19702
142.03,141.76756
126.57,131.27243
121.15,143.01709
156.63,133.15407
139.2,135.96634
137.28,139.32591
133.7,137.05246
133.68,127.504036
133.01,133.676
141.26,134.81631
127.81,130.92299
122.1,125.33904
143.66,141.42918
118.44,137.71252
117.6,117.282974
135.21,132.50153
135.19,132.40326
138.73,133.7604
114.87,124.99448
135.72,133.04803
125.81,135.5459
137.53,124.30703
130.25,131.2612
133.34,135.26135
171.67,131.22298
144.91,128.02141
117.54,125.563866
102.67,118.824974
124.93,136.48083
131.78,136.07108
125.6,132.99965
135.49,134.75427
133.72,136.74646
130.86,138.23615
132.9,132.1958
125.87,135.93411
139.14,133.8317
127.72,130.49007
147.41,140.16597
122.58,129.51253
159.85,139.63768
121.18,131.26181
113.03,119.34129
135.47,133.63391
150.56,146.40309
128.75,130.61755
140.33,124.54317
130.83,121.65487
140.63,137.61365
130.45,130.98895
136.86,119.34795
128.79,132.23396
156.61,130.81952
141.39,128.90224
109.89,135.18816
136.01,138.71841
138.54,131.51147
131.11,136.77458
120.38,131.63771
136.83,137.59254
129.87,132.88135
134.26,127.36222
124.18999999999998,135.1531
138.45,140.336
142.2,132.75168
116.57999999999998,122.92875
108.82,123.31789
126.06,126.54347
134.11,132.51607
140.79,138.4839
129.02,136.78433
117.07000000000001,132.95277
123.38,130.70311
126.81,127.480675
165.04999999999998,133.19815
132.05,132.88406
146.08,126.37449
122.50000000000001,134.0436
136.72,135.4719
123.99,128.24944
122.89,134.21416
121.24999999999999,127.34175
137.08,137.02885
133.84,129.91466
137.5,135.96274
113.91000000000001,126.18719
123.42,138.39252
133.58,125.27745
150.5,141.8608
145.93,134.07207
132.89,134.87439
144.61,141.31297
140.31,135.8597
132.66,120.90258
125.63,135.33987
112.05,121.85035
136.88,134.55042
128.86,137.60138
131.05,136.31665
112.14,121.44242
110.67,130.21155
120.64,133.23347
136.29,143.1706
107.43,118.43375
139.42,136.42311
132.28,134.93874
119.09,132.23068
128.65,136.36215
125.15999999999998,122.20369
145.93,134.37296
140.6533333,137.94507
146.32,141.18037
159.51,138.60883
136.77,132.74298
141.68,123.787796
118.55999999999999,123.52515
129.75,132.5725
135.6,126.781235
137.2,124.30481
133.63,120.463356
119.59,129.4056
204.76000000000002,137.24368
118.27,125.32083
137.56,118.14253
139.47,135.36624
122.83,128.14232
124.73,121.01613
109.36,121.98855
143.79,133.2469
118.47,126.54247
142.68,134.72845
128.01,138.82962
113.07,128.58502
159.48,130.49629
133.31,137.91827
122.92,135.34933
110.76,126.50923
129.4,121.589325
131.25,137.20645
125.39,129.83965
135.2,134.42479
112.9161538,124.43651
136.73,131.57295
131.23,126.778244
134.77,131.71233
119.36,131.42717
129.84,137.65005
130.84,126.31176
106.52999999999999,122.838066
124.53,134.51736
152.62,139.06499
121.72,127.998405
109.78,123.4409
130.75,128.24857
128.62,125.45037
144.13,131.00491
121.34,129.23613
139.73,136.28702
133.44,137.93701
118.26,127.54696
115.35999999999999,121.10099
117.9,126.60854
134.69,131.90895
111.52,126.24922
137.51,125.90451
129.0,135.72119
122.18,121.08089
133.03,136.94682
139.76,136.93091
135.98,133.10352
126.91,140.68742
130.73,133.23634
148.92,129.00218
128.62,133.6512
127.64000000000001,129.45169
138.18,133.61444
140.95,138.55867
139.22,137.0632
123.89,130.40825
117.72,122.43927
121.94,131.3687
128.62,135.93768
128.46,131.92987
126.58,134.31126
158.74,140.19865
170.28,150.29163
132.22,135.09505
140.5,142.10577
125.44,130.63496
133.75,134.93507
143.4,136.53793
136.55,137.1427
170.12,130.05344
157.59,137.3805
133.93,126.15748
134.54,138.04485
137.03,136.56204
130.14,133.54677
137.05,131.04036
113.68000000000002,125.5196
140.61,135.55064
124.23,127.86919
116.46,122.388504
120.47,122.18616
123.84,131.37358
141.37,143.56912
124.90999999999998,134.05391
132.65,135.79
134.27,136.04863
135.54,133.93597
152.76999999999998,123.606125
135.64,140.99065
131.07,137.46806
148.69,136.22545
133.15,134.70082
128.74,138.00394
136.09,133.09576
136.58,135.88676
130.85,134.98047
128.44,135.06044
149.86,134.63779
114.77,121.22779
130.46,131.35548
121.38,125.78626
137.06,136.95538
114.1,125.5071
132.63,118.00107
165.16,132.12175
158.58,145.61815
141.43,126.07131
137.9,135.14993
119.04,124.3506
125.28,137.41594
145.12,135.51974
137.56,133.23203
147.93,132.8718
131.98,135.00024
113.92000000000002,127.83094
139.03,136.81087
123.5,129.39206
147.21,126.18004
137.2,133.6522
151.6,129.80212
138.94,135.09308
123.64,153.0695
109.03,124.601074
142.2,124.78261
134.19,124.92572
129.47,125.367805
137.41,137.5133
146.16,131.61963
148.63,134.16306
133.09,131.7996
133.24,136.66548
127.07,127.55113
143.76,137.88356
135.33,123.32685
154.09,131.67125
124.18,127.085205
135.87,118.000565
140.16,141.57875
139.43,143.56834
128.68,128.55917
129.73,120.185684
134.14,134.65335
133.27,132.0814
125.35,123.40057
128.9,132.2937
126.32,127.30689
116.39,123.579346
135.4,133.05016
137.63,134.38957
131.85,131.24417
132.63,138.92165
123.16,136.92145
134.25,142.29016
122.63,126.26107
116.66,121.57497
149.0,141.51576
131.63,133.40771
160.16,136.31625
149.97,139.57599
119.44,122.71121
141.4,140.93097
123.07,134.42325
132.35,134.03596
117.628,126.20095
127.07,130.95789
131.75,130.52287
130.28,133.1573
111.63,124.89457
136.15,131.73578
131.06,132.12762
113.91000000000001,117.37184
132.27,136.38562
133.13,132.15208
134.89,133.91249
120.53000000000002,127.69234
142.72,126.91323
137.9,135.87831
142.31,150.34048
136.97,122.34765
134.11,127.391426
101.62,120.718666
127.57,124.19126
117.1,119.316154
137.07,134.4227
139.52,132.82506
130.59,133.57146
143.56,143.26627
157.33,127.320274
109.12,122.26505
139.05,137.94872
145.97,133.65369
137.94,134.28122
139.05,133.94356
125.74,133.32996
136.48,124.66985
137.46,130.9171
126.66000000000001,130.24529
146.66,136.52153
108.43,121.17715
126.1,133.72626
103.13,118.96592
126.2,132.80368
146.85,131.83873
139.43,132.66737
128.61,122.66579
137.83,125.9574
164.2,141.26474
123.99,135.35736
174.76,139.61118
131.19,134.66896
139.91,135.24628
148.13,132.64027
136.3,131.01013
149.93,135.98329
152.42,121.2415
126.26,121.090515
142.32,137.33913
114.3842857,127.71708
133.41,134.80952
119.25,133.24602
147.28,144.17859
132.59,137.01389
121.6,134.94426
145.55,126.86585
127.19,132.18484
135.63,127.6051
139.08,137.42206
133.18,134.83469
129.7,130.89795
127.88000000000001,131.04472
156.32,130.60791
130.69,125.096306
132.92,128.59608
129.39,120.62767
133.78,134.19797
171.94,149.91339
118.47,131.09138
130.11,144.5383
124.59,123.48831
143.39,139.15128
131.42,134.65048
121.49999999999999,122.45581
125.11,132.21024
111.88,122.52744
147.71,137.97217
134.29,132.19164
126.46,127.7529
143.8,135.61143
137.01,133.68085
169.62,140.52916
135.81,141.01892
147.97,143.08492
128.27,133.60905
126.44,129.34642
126.89999999999999,138.5557
136.7,134.3181
133.44,131.80852
127.13000000000001,131.92532
124.03,130.29567
141.56,135.88147
133.84,132.2196
128.48,133.00493
125.74,128.46648
173.49,140.07503
133.89,134.5664
135.02,132.55304
121.07,125.86533
129.52,123.27572
149.42,119.86654
141.27,131.20634
129.75,127.02282
125.26,129.59712
127.13000000000001,134.86928
140.63,124.7962
140.12,133.44884
130.08,129.56894
134.34,137.86778
131.63,123.793
130.02,131.03513
127.84,132.10625
134.37,129.43604
211.4525,139.21893
111.24,123.782875
130.96,128.31879
126.06,130.83685
125.66999999999999,137.34258
127.05,123.85836
114.67,122.09594
134.21,130.81421
128.84,124.433655
134.98,139.68925
146.85,136.41748
128.99,132.3041
132.46,124.40205
141.14,134.35669
119.85,121.454994
144.79,127.25921
119.21,125.487625
134.33,135.4032
157.72,136.2581
155.76,137.79141
138.35,132.91667
133.51,135.84537
129.4,126.49104
113.6,122.97798
144.69,139.78568
134.98,135.05363
135.7,139.64644
112.29,120.98672
137.68,135.50465
133.17,134.16518
132.76,134.55338
133.81,139.48029
135.28,139.74718
129.42,132.14105
151.9,141.37268
133.98,134.24129
132.39,138.64375
134.68,142.2748
115.59,126.65385
138.79,139.91571
135.78,132.45409
132.3,132.31511
128.89,125.241844
126.92000000000002,126.019295
154.61,136.00856
125.47,129.26843
107.3,131.66762
139.42,136.73364
172.95,128.83374
144.34,136.65558
132.19,126.752075
108.28000000000002,128.60551
140.66,121.627014
115.61999999999999,121.70695
132.82,132.63722
124.76,135.14494
123.93999999999998,126.44526
139.11,124.815895
142.02,138.55777
134.65,134.0699
127.16,130.20473
133.72,131.37587
141.43,139.01276
124.74,131.85777
148.51,141.9965
152.26999999999998,133.78816
149.63,143.44609
122.99,136.42296
137.34,136.12735
168.99000000000004,126.51152
138.26,133.24301
120.99999999999999,120.50328
147.83,137.71408
124.02,132.1598
126.81,130.53214
116.37000000000002,124.69536
121.77,137.62802
131.5,135.99403
129.96,130.0766
121.73,132.18109
120.84,134.19492
147.71,138.73396
130.2,129.11908
130.01,129.99486
130.42,137.49529
142.88,120.40963
141.0,123.68545
128.21,124.297005
146.35,137.7902
113.93000000000002,126.03492
174.27,129.42279
146.25,133.82845
158.78,128.66347
138.63,140.67584
135.08,130.23473
153.52,142.82648
151.45,146.01257
123.58,130.4601
126.54,136.96042
115.14000000000001,126.78902
133.85,131.68584
153.0,145.33562
138.25,126.896095
128.57,133.84799
132.79,138.39996
130.39,134.19794
118.30999999999999,121.43161
108.2,119.09977
117.65,126.09078
134.28,131.62161
127.58,131.97417
141.57,132.86201
119.38,124.71751
122.52,137.40834
126.76,136.89195
114.91,124.09313
122.41,130.54701
214.1,126.38927
113.08,122.998764
119.12,130.02962
148.37,135.127
130.97,136.49745
142.44,134.72014
104.5,121.38882
135.89,131.41882
124.8,133.37244
140.36,140.43944
129.13,127.67002
120.6,131.85617
152.54,129.3538
143.69,139.07071
156.11,131.025
126.45,136.01884
133.25,136.19843
126.68000000000002,124.93154
117.88,122.13451
146.96,121.39499
150.05,138.88034
139.61,136.57295
141.14,139.0756
141.27,130.06108
137.18,130.39317
138.41,130.85611
144.81,137.173
123.21000000000001,125.775
134.14,136.35689
141.44,130.5232
133.08,128.64285
117.56,128.03986
124.94000000000001,130.21873
124.21,133.79471
148.83,130.08977
140.08,133.15294
158.38,150.33759
130.92,137.94548
135.36,140.35602
139.54,147.24501
141.4,135.88644
123.58,138.65031
112.13,132.62996
158.35,135.47069
145.35,134.83978
126.34,127.2411
125.87,134.95108
141.45,142.48657
147.96,135.75758
136.52,124.13838
128.56,133.32617
120.14,132.04611
129.29,134.79774
139.15,130.88092
140.73,134.31152
124.26,128.24692
163.22,132.9469
144.6,141.18088
133.77,129.77118
137.08,133.54047
122.50000000000001,127.722534
142.58,130.83292
137.71,138.98154
122.22999999999999,136.06316
135.84,140.58241
150.8,122.97445
118.41,123.99437
144.81,145.13606
146.5,143.70406
129.74,127.46123
129.17,126.80861
124.33,126.61986
132.06,133.49606
135.09,134.29256
171.86,140.85121
126.68000000000002,129.5761
152.53,140.55885
130.66,133.88615
119.68,134.42363
133.74,125.85064
135.34,131.12735
141.8,132.22557
142.11,131.12871
145.62,134.06084
142.62,137.22147
168.76,145.91031
139.88,121.99203
146.27,140.3622
140.83,135.50856
142.4,132.99109
132.95,137.771
127.91,135.43611
156.04,149.42566
139.92,134.93025
137.58,138.07014
130.84,123.5622
130.86,134.72714
151.9,134.25424
130.06,129.22267
137.95,132.21434
120.76,131.1942
128.93,134.89473
116.52,123.91362
121.23,129.7582
134.73,137.36436
114.49,120.526794
126.31,129.60403
127.74,134.04353
128.43,124.12665
133.37,133.281
170.26,128.85469
110.72000000000001,124.87507
143.64,134.47125
127.64000000000001,141.83221
136.95,135.83662
152.72999999999996,138.6612
123.6,125.39011
149.29,132.41942
138.58,130.84239
125.25,129.60214
128.07,139.46968
133.84,129.79999
130.24,140.19742
128.23,142.02516
136.09,132.51648
131.59,137.40973
147.56,129.48595
134.84,139.3231
142.91,142.21732
136.56,133.70314
144.63,130.10999
118.61,125.64131
142.96,140.83751
124.69000000000001,120.84689
114.32,127.40547
133.36,134.69002
144.08,137.20145
139.47,131.26022
135.44,130.57443
116.07,125.14788
132.07,136.139
131.69,132.37015
139.23,140.95564
112.79,121.04254
129.43,133.62912
126.37999999999998,132.56006
162.76,132.54321
135.6,134.08498
125.49,129.2714
121.6,139.6289
117.93,127.56618
147.3,145.91388
137.32,139.39696
125.46,128.0497
141.63,129.99733
157.38,123.95782
119.11,124.42692
141.11,140.79153
113.39,139.50125
134.48,135.4781
142.21,136.0901
142.28,137.36295
117.7,130.98438
116.49,119.67987
122.07,128.10385
153.01,141.88615
153.06,138.24712
127.95,133.24443
110.85,124.90885
124.47,139.38902
149.06,145.07237
141.78,132.70981
147.12,142.47633
138.34,134.30627
113.75,126.53844
145.5,136.96957
138.42,135.28212
148.7,133.23866
154.84,144.904
149.64,140.08923
122.96000000000001,135.77917
123.87,136.30838
139.3,133.87144
122.914,127.39912
131.05,140.20073
142.58,141.54956
139.42,141.92035
139.8,138.65138
140.44,130.09317
138.45,140.22223
154.78,143.98018
113.1,124.4121
133.24,138.05513
118.17,122.950905
164.46,137.96005
129.11,131.21965
137.07,130.72255
130.32,129.1414
131.88,139.37434
121.91,119.2947
137.92,145.71516
128.21,130.71922
128.29,127.777756
138.3,128.8859
122.88,125.14552
128.56,138.01036
151.06,139.92276
135.2,123.38458
119.95,117.78068
118.59,124.301994
