Test,Hat
133.66,135.97845
130.4,129.81618
126.51,137.20688
124.13,122.10292
128.34,125.2789
145.72,129.35143
139.43,135.66708
136.28,133.88887
124.99999999999999,128.33777
113.3,123.97736
110.95,121.28188
131.7,128.53818
139.04,143.66821
135.06,137.57051
128.27,129.54114
133.87,134.72562
141.9,133.65039
120.18,124.70709
125.88,134.70634
116.52,124.88488
138.74,136.97
140.15,133.62883
121.67,131.96419
143.79,140.93901
142.63,127.56565
122.34,135.21443
141.57,132.52745
120.71,125.30083
135.07,136.59073
118.27,130.99306
125.6,133.91045
117.1,128.1059
148.58,131.12802
128.53,126.47169
156.82,131.73882
133.49,131.244
129.18,145.57579
137.57,134.16934
119.81,127.23972
115.4,125.35893
138.23,133.48111
114.5,121.77895
125.83,125.51541
138.14,134.62746
118.5,135.80244
141.42,130.84729
124.96,139.2777
139.12,136.3407
130.6575,128.81578
148.13,126.313385
152.39,136.96187
134.03,135.28493
127.22,128.60228
127.64,140.67197
130.84,130.64719
133.14,120.40442
133.32,132.29266
117.08,130.75368
139.57,134.49393
113.11000000000001,126.65923
153.88,135.81522
108.35,118.12091
137.88,127.277336
137.72,128.08768
166.4,162.99004
119.63,128.16223
140.54,132.75081
136.53,134.84645
122.7,134.39343
141.35,137.19118
146.39,133.5427
139.41,141.7123
137.74,135.7091
134.27,130.04697
134.87,133.26976
186.07,132.08865
121.26,123.26613
122.73000000000002,126.41822
120.15,127.69641
118.14,124.03115
187.53,140.63924
142.83,130.31548
122.84,122.39262
135.14,134.06288
137.16,140.38747
173.49,151.76378
124.06999999999998,125.669014
140.09,125.679405
130.09,124.373764
129.0,126.04269
145.77,128.01648
123.21,128.62585
127.5387879,128.96307
131.75,124.65175
143.87,129.69635
134.42,133.06729
154.44,142.80087
140.42,132.06851
128.58,129.4167
149.89,140.71707
123.22,125.43513
155.36000000000004,134.924
135.28,131.8316
137.76,131.74498
124.09,142.55724
127.98,129.50255
124.7,126.1483
123.55,126.74646
128.78,139.85887
135.18,150.44934
116.78,123.04218
132.67,129.45378
129.41,131.6765
132.51,127.635056
116.59,123.04738
126.68999999999998,127.96255
137.95,129.98198
130.51,135.38419
136.49,132.88107
155.82,133.44232
120.23,135.10234
135.54,135.99408
176.60000000000002,132.23988
131.35,145.81648
127.05,127.28255
127.43,123.66341
131.11,128.17722
130.82,132.94604
133.06,134.10472
150.01,136.70961
138.56,133.54024
136.57,132.9616
112.61,123.428734
133.11,126.43464
119.76,123.4979
119.33,126.64504
136.13,131.47675
133.46,140.31091
141.96,138.01758
129.35,127.94712
117.08,122.9016
152.85,126.752235
117.88,124.55069
121.74,136.47629
151.26,138.64403
147.96,144.15016
135.92,132.82588
129.08,140.19095
120.63,140.57848
139.92,131.01546
134.24,140.01093
134.01,121.019264
152.13000000000002,141.28136
119.7,122.96663
127.52,144.08069
120.23,122.501625
131.34,133.90549
141.82,123.42843
131.14,131.8798
141.86,126.13385
133.41,135.55809
129.96,123.12177
131.13,131.71622
146.99,130.22043
148.28,124.68371
121.53,124.5479
132.72,123.27241
129.82,126.15835
147.15,136.67046
161.11,150.81355
149.83,128.02689
128.97,127.77753
136.08,134.16624
151.34,125.8957
142.38,138.3432
127.57,126.3825
148.53,149.56395
135.48,133.06012
149.39,140.02663
138.81,129.17612
122.82,134.25272
135.28,132.17343
124.29,138.59746
122.37999999999998,125.965294
124.48999999999998,126.12024
116.41,136.76035
141.31,135.00511
125.95,136.20085
132.69,127.37142
124.33000000000001,128.54616
132.24,141.26135
123.07,126.577446
133.21,133.8412
132.06,122.25623
131.15,128.99779
133.34,127.260056
131.18,127.848755
122.25,126.88929
150.75,130.45616
170.23,144.46368
125.52,127.92935
127.56,134.39478
129.12,128.04463
159.39,142.64238
146.37,138.4918
117.9,128.822
129.36,129.50777
125.13,127.560425
134.45,128.83879
141.17,135.12347
137.81,131.7992
143.68,138.19284
137.2,133.76357
134.4,132.92976
137.58,136.0389
142.94,139.64992
137.2,131.71704
159.97,148.87257
132.9,135.60266
140.57,138.80812
124.19,136.12059
140.35,127.033615
139.79,134.52563
135.78,138.27112
120.72,123.55904
133.19,129.74722
129.93,127.19812
129.39,143.98563
126.61000000000001,131.61041
132.39,134.49467
128.03,135.73694
127.15,127.99088
112.1,120.999985
120.86,124.63393
121.76,132.48766
132.35,128.43411
115.97500000000001,128.34727
115.08,138.29681
109.69,126.27904
106.85,129.14485
142.16,127.19044
134.51,131.94102
133.42,126.5049
142.71,148.82404
121.63000000000001,136.77615
138.46,128.83592
129.17,122.61347
146.19,131.19379
128.92,127.25382
147.77,135.3029
127.61999999999999,134.72311
