Test,Hat
131.68,124.93309
150.97,146.35762
171.74,144.91678
140.31,135.39906
128.9,134.53549
129.68,134.9865
139.3,137.23225
131.11,136.72061
152.72,145.6513
120.19,131.69228
113.49,120.92313
121.36,132.49411
133.08,126.84211
111.78,116.5478
124.68,134.70003
119.0,124.84265
137.39,133.23314
120.28000000000002,133.10799
123.54,133.42963
122.94,117.6165
131.1,134.89824
139.83,130.07779
120.51,128.703
109.37,119.54054
138.81,136.75525
117.87,116.992424
150.69,139.19138
139.47,134.38423
131.3,135.29892
129.1,127.38584
129.51,140.0206
124.15,137.90732
124.25,119.33452
127.26,125.19202
129.75,135.53903
134.54,136.24005
140.35,138.58217
131.51,136.26384
149.11,150.93083
128.65,128.6955
127.25,125.45569
141.88,133.76228
130.38,132.94658
158.23,146.14601
103.92,126.46463
123.14,126.29918
125.97,136.22408
123.93999999999998,125.58641
139.52,137.7704
168.4,136.96997
129.44,142.11378
140.27,130.37009
139.48,138.7138
135.44,129.07153
142.15,139.12856
131.49,131.36726
131.62,135.5371
121.54,121.31603
136.17,124.11226
155.38,141.59189
142.08,135.08437
140.52,137.67667
139.5,129.58691
130.54,135.21063
150.89,137.80035
135.93,137.47336
119.57,138.16803
134.93,135.11774
111.24,135.73175
123.94999999999999,130.99048
119.13,133.5166
125.65,133.88243
163.0,144.0266
130.57,128.27925
125.17999999999999,130.23375
123.2,120.7617
150.19,149.49753
126.87,133.68906
124.68,116.09496
134.73,140.29828
130.81,131.8097
138.02,131.76738
127.45,135.36867
138.06,137.31999
116.91,117.09841
136.9,128.97902
134.26,119.04895
105.36,118.31294
143.02,129.26778
116.10000000000001,127.575485
134.55,137.79355
124.04,132.28627
129.24,137.42201
141.19,138.4361
119.26,128.78888
135.4,138.8007
114.92,120.30813
156.3,138.73985
130.59,135.2282
112.57,116.136925
135.69,139.38329
137.51,117.20311
156.42,137.20697
144.93,139.28758
149.48,141.27841
133.94,136.63326
139.27,124.355225
161.89,146.26544
132.78,121.388306
129.19,126.6886
135.02,138.70613
149.79,141.772
126.64999999999999,123.66284
150.01,142.28917
137.34,121.789
140.89,135.1992
131.46,115.13889
107.34,114.97308
145.65,137.66545
138.28,135.3053
124.83,134.31084
133.09,149.53577
134.95,114.855316
127.89000000000001,135.55008
132.45,136.88147
142.33,130.41829
139.71,130.34406
134.28,135.96825
113.52,121.69356
120.91,121.17414
140.43,139.87393
126.09,132.24258
126.62999999999998,138.09526
152.18,138.24472
140.92,135.73993
136.75,136.68327
124.84,128.37923
139.35,128.56915
145.87,138.29915
135.26,138.6054
141.07,131.03804
133.22,135.78334
149.95,142.32874
142.48,131.86002
119.24,119.37236
115.03,121.754295
122.75,127.543655
120.25,117.14699
135.33,134.18192
142.36,137.93698
139.52,132.8559
144.36,142.68478
126.67000000000002,131.96313
134.85,127.879364
132.96,124.89356
140.23,136.38376
116.08,123.28499
137.69,117.048546
138.54,135.99489
140.7,149.89604
143.63,140.12836
137.53,127.542595
131.04,133.91362
132.08,132.65344
133.57,138.82002
141.38,136.8843
132.29,137.84572
149.95,137.8005
154.81,140.5467
137.77,135.90611
135.31,136.7107
138.08,134.51025
128.36,127.95031
160.92,140.1015
129.87,134.03488
128.5,130.6
124.9,121.13805
132.35,124.21144
134.21,133.13806
113.62999999999998,136.4689
126.72,127.49403
126.98,126.1934
142.24,140.08798
129.88,134.39177
145.12,126.25969
141.1,131.0001
126.88999999999999,136.76451
141.14,129.20451
